date,actuals.cases,actuals.deaths,metrics.caseDensity,metrics.testPositivityRatio,cdcTransmissionLevel,riskLevels.caseDensity,riskLevels.overall,metrics.vaccinationsCompletedRatio,metrics.vaccinationsInitiatedRatio
2020-06-17,2162948.0,117564.0,19486.0,0.06234253308128544,0.3815285965456614,0.17592305305615885,0.22345640707415454,0.05244152595372108,0.1170569105691057
2020-06-18,2189756.0,118259.0,19754.3,0.06296748582230624,0.3929568724790568,0.1813372634191747,0.22756748371082844,0.05244152595372108,0.1170569105691057
2020-06-19,2221699.0,118949.0,20193.8,0.06490132325141776,0.40575550729134346,0.18492088116661495,0.23383493639466338,0.05244152595372108,0.1170569105691057
2020-06-20,2252327.0,119509.0,19937.5,0.06596824196597353,0.4118057710207881,0.18468817871548246,0.2340055848588272,0.05244152595372108,0.1170569105691057
2020-06-21,2278589.0,119769.0,20090.3,0.06652778827977315,0.41987278932671424,0.18810114799875893,0.2380701210052746,0.05244152595372108,0.1170569105691057
2020-06-22,2310018.0,120119.0,20413.8,0.06758790170132326,0.4252766573585686,0.19219671113869066,0.2429103319888303,0.05244152595372108,0.1170569105691057
2020-06-23,2345130.0,120954.0,21431.1,0.06820756143667296,0.4323611542041576,0.19742475954080052,0.24894508222153275,0.05244152595372108,0.1170569105691057
2020-06-24,2382282.0,121699.0,22373.3,0.06923894139886579,0.4396783535008791,0.20179956562209125,0.25338194228979216,0.05244152595372108,0.1170569105691057
2020-06-25,2423392.0,124156.0,23259.1,0.070848393194707,0.44725411107663665,0.20591064225876515,0.2588582066397766,0.05244152595372108,0.1170569105691057
2020-06-26,2468949.0,124912.0,24050.8,0.07137693761814745,0.4571051815079119,0.21056469128141486,0.2623952838969904,0.05244152595372108,0.1170569105691057
2020-06-27,2511017.0,125440.0,24825.3,0.0726593572778828,0.46643913538111487,0.2151566863170959,0.2682748991622712,0.05244152595372108,0.1170569105691057
2020-06-28,2549593.0,125704.0,25587.3,0.07412173913043478,0.477686420519185,0.21925224945702765,0.2753180266832144,0.05244152595372108,0.1170569105691057
2020-06-29,2588373.0,126039.0,26450.5,0.07529111531190927,0.48652911366221946,0.2246354328265591,0.2812907229289482,0.05244152595372108,0.1170569105691057
2020-06-30,2637809.0,127331.0,27245.1,0.077765595463138,0.4994311717861206,0.22902575240459203,0.28682904126590136,0.05244152595372108,0.1170569105691057
2020-07-01,2687972.0,127965.0,28263.9,0.07938298676748581,0.5121522391146964,0.23433136829041265,0.29405833074775056,0.05244152595372108,0.1170569105691057
2020-07-02,2741875.0,128655.0,29440.1,0.08003137996219281,0.522442858620333,0.23957493018926468,0.29708346261247287,0.05244152595372108,0.1170569105691057
2020-07-03,2800990.0,129267.0,30603.4,0.0807773156899811,0.5312855517633674,0.24455476264349985,0.30071362085013964,0.05244152595372108,0.1170569105691057
2020-07-04,2851298.0,129527.0,31648.1,0.08211984877126653,0.5382149136415347,0.2488830282345641,0.3047005895128762,0.05244152595372108,0.1170569105691057
2020-07-05,2895999.0,129782.0,32119.9,0.0829992438563327,0.542506981073534,0.25215637604716107,0.3098665839280174,0.05244152595372108,0.1170569105691057
2020-07-06,2943360.0,130179.0,32746.4,0.08489489603024575,0.5472385975798945,0.25415761712690044,0.31287620229599755,0.05244152595372108,0.1170569105691057
2020-07-07,2997443.0,131113.0,33440.5,0.08600037807183365,0.5534181404488572,0.2586875581756128,0.316754576481539,0.05244152595372108,0.1170569105691057
2020-07-08,3056466.0,132010.0,34372.4,0.08770510396975426,0.5637087599544938,0.26348122866894197,0.3223859757989451,0.05244152595372108,0.1170569105691057
2020-07-09,3116789.0,132930.0,35684.5,0.0900249527410208,0.5746457751577205,0.2680421967111387,0.3284207260316475,0.05244152595372108,0.1170569105691057
2020-07-10,3184610.0,133771.0,37294.9,0.09124499054820416,0.5872892750025855,0.2733943530871859,0.33285758609990695,0.05244152595372108,0.1170569105691057
2020-07-11,3245158.0,134443.0,39047.9,0.09258034026465028,0.5994415141172821,0.28014272417002795,0.33892336332609374,0.05244152595372108,0.1170569105691057
2020-07-12,3302740.0,134836.0,40829.1,0.0935523629489603,0.6072241183162684,0.28633260937015204,0.3443686006825939,0.05244152595372108,0.1170569105691057
2020-07-13,3363972.0,135257.0,42494.3,0.09493081285444235,0.6151877133105802,0.2919329816940739,0.35052745888923365,0.05244152595372108,0.1170569105691057
2020-07-14,3429846.0,136204.0,43941.5,0.09659962192816635,0.6244440997000724,0.2973937325473162,0.35434377908780645,0.05244152595372108,0.1170569105691057
2020-07-15,3498730.0,137202.0,45731.2,0.0976812854442344,0.6299255352156377,0.30291653738752716,0.35862550418864414,0.05244152595372108,0.1170569105691057
2020-07-16,3574707.0,138174.0,46895.8,0.09684574669187145,0.6368807529217085,0.30839280173751166,0.3616196090598821,0.05244152595372108,0.1170569105691057
2020-07-17,3645208.0,139077.0,47283.5,0.09754177693761815,0.6426466025442135,0.31014582686937636,0.3623642569035061,0.05244152595372108,0.1170569105691057
2020-07-18,3707137.0,139862.0,48135.6,0.09661587901701324,0.643603268176647,0.3128451753025132,0.36247285138070123,0.05244152595372108,0.1170569105691057
2020-07-19,3768688.0,140266.0,48924.2,0.09625633270321361,0.6465249767297548,0.3158703071672355,0.363295066708036,0.05244152595372108,0.1170569105691057
2020-07-20,3827862.0,140787.0,49627.2,0.09569187145557656,0.6484641638225256,0.31649084703692215,0.3636053366428793,0.05244152595372108,0.1170569105691057
2020-07-21,3893770.0,141916.0,51128.1,0.09576710775047259,0.6561950563657047,0.32164132795532113,0.366103009618368,0.05244152595372108,0.1170569105691057
2020-07-22,3962814.0,143049.0,51446.0,0.09545179584120983,0.6572292894818492,0.32232392181197644,0.3651101458268694,0.05244152595372108,0.1170569105691057
2020-07-23,4032607.0,144164.0,52230.6,0.0960578449905482,0.6622970317509567,0.32547316165063606,0.3665529010238908,0.05244152595372108,0.1170569105691057
2020-07-24,4105291.0,145309.0,53511.8,0.09548809073724007,0.668295583824594,0.3301116971765436,0.3696556003723239,0.05244152595372108,0.1170569105691057
2020-07-25,4172187.0,146170.0,54363.9,0.09628922495274102,0.6740097217912918,0.3333385044989141,0.3712379770400248,0.05244152595372108,0.1170569105691057
2020-07-26,4225807.0,146613.0,54929.3,0.09662948960302457,0.6744751266935568,0.3373099596649085,0.37336332609370154,0.05244152595372108,0.1170569105691057
2020-07-27,4284389.0,148300.0,55030.4,0.096696786389414,0.6743458475540386,0.3385044989140552,0.37336332609370154,0.05244152595372108,0.1170569105691057
2020-07-28,4346878.0,149613.0,54849.8,0.09629754253308129,0.6760781880235806,0.3364101768538629,0.3701210052745889,0.05244152595372108,0.1170569105691057
2020-07-29,4413494.0,151001.0,55090.9,0.09546616257088847,0.6785603475023271,0.3387837418554142,0.3699503568104251,0.05244152595372108,0.1170569105691057
2020-07-30,4482215.0,152267.0,55290.2,0.09597693761814745,0.6791033198883029,0.3407074154514428,0.3709897610921502,0.05244152595372108,0.1170569105691057
2020-07-31,4550691.0,153686.0,55110.6,0.09644423440453687,0.6797238597579894,0.33820974247595414,0.3675612783121316,0.05244152595372108,0.1170569105691057
2020-08-01,4607511.0,154736.0,54892.5,0.09624499054820417,0.6782759333953874,0.3377908780639156,0.36718895439031957,0.05244152595372108,0.1170569105691057
2020-08-02,4657758.0,155156.0,54034.7,0.09654706994328922,0.6788706174371704,0.3333695314923984,0.36343468817871555,0.05244152595372108,0.1170569105691057
2020-08-03,4705224.0,155755.0,53033.1,0.09593308128544423,0.6781725100837729,0.3303909401179026,0.36084393422277383,0.05244152595372108,0.1170569105691057
2020-08-04,4758198.0,157104.0,52482.5,0.09592400756143667,0.6789740407487849,0.3291808873720137,0.36061123177164134,0.05244152595372108,0.1170569105691057
2020-08-05,4812247.0,158346.0,52054.7,0.09580793950850662,0.680809804529941,0.3277226186782501,0.35899782811045616,0.05244152595372108,0.1170569105691057
2020-08-06,4869484.0,158866.0,51863.7,0.09382457466918714,0.6809132278415555,0.3277381321749923,0.3577877753645672,0.05244152595372108,0.1170569105691057
2020-08-07,4930340.0,160181.0,52542.5,0.0926,0.680809804529941,0.32896369841762335,0.35760161340366126,0.05244152595372108,0.1170569105691057
2020-08-08,4985305.0,161152.0,53043.3,0.09042873345935727,0.6833695314923984,0.33141483090288554,0.35645361464474096,0.05244152595372108,0.1170569105691057
2020-08-09,5033069.0,161689.0,53415.2,0.08937618147448015,0.6846623228875788,0.33397455786534286,0.3572758299720757,0.05244152595372108,0.1170569105691057
2020-08-10,5080176.0,162218.0,53537.1,0.08826994328922495,0.683653945599338,0.33507601613403665,0.35777226186782507,0.05244152595372108,0.1170569105691057
2020-08-11,5133703.0,163660.0,52971.3,0.08684120982986768,0.6804478229392905,0.33541731306236433,0.3569655600372324,0.05244152595372108,0.1170569105691057
2020-08-12,5187872.0,165115.0,52836.2,0.08509224952741021,0.6804995345950977,0.33332299100217194,0.3542506981073534,0.05244152595372108,0.1170569105691057
2020-08-13,5240785.0,166294.0,53047.5,0.08453724007561436,0.6773709794187609,0.33222153273347815,0.35338194228979214,0.05244152595372108,0.1170569105691057
2020-08-14,5298579.0,167439.0,51696.7,0.08296672967863894,0.6768021512048816,0.32837418554142106,0.3502482159478747,0.05244152595372108,0.1170569105691057
2020-08-15,5350091.0,168476.0,50874.7,0.08192325141776938,0.676181611335195,0.3242786224014893,0.3464474092460441,0.05244152595372108,0.1170569105691057
2020-08-16,5386450.0,168980.0,49984.5,0.08159810964083175,0.6742941358982315,0.3207570586410177,0.34269314303444,0.05244152595372108,0.1170569105691057
2020-08-17,5421901.0,169497.0,49082.0,0.08079546313799622,0.6713724273451236,0.31875581756127835,0.34126590133416074,0.05244152595372108,0.1170569105691057
2020-08-18,5463570.0,170816.0,48460.5,0.07960907372400756,0.6681145930292689,0.31614955010859447,0.3375581756127831,0.05244152595372108,0.1170569105691057
2020-08-19,5508932.0,172192.0,47799.1,0.07927977315689981,0.6647791912297032,0.3150170648464164,0.3354638535525908,0.05244152595372108,0.1170569105691057
