date,actuals.cases,actuals.deaths,metrics.deathDensity,metrics.caseDensity,metrics.testPositivityRatio,cdcTransmissionLevel,riskLevels.caseDensity,riskLevels.overall,metrics.vaccinationsCompletedRatio,metrics.vaccinationsInitiatedRatio
2021-04-09,30748448.0,556467.0,5.966017236013199,47511.8,0.061876165969765196,0.6728222636043866,0.3084574798261949,0.32678460583488517,0.19690671031096563,0.2889096563011457
2021-04-10,30812802.0,557125.0,5.972076252898124,48307.5,0.062180443872627854,0.6748655079660666,0.3118146079039934,0.3282019449617215,0.20370409165302783,0.29456432078559736
2021-04-11,30860867.0,557411.0,5.973630926577478,49289.2,0.06254422643936956,0.6820815228636458,0.3166666666666667,0.3339540657976412,0.20749918166939443,0.2976402618657938
2021-04-12,30930198.0,557895.0,5.977353700159354,50358.8,0.06289096172402701,0.6850817297744672,0.31821849782743644,0.3353041589075109,0.20998428805237315,0.30000294599018
2021-04-13,31005241.0,558822.0,5.987070195353977,51860.6,0.06296172402701833,0.6891940823505069,0.32235671425615564,0.33906993585764533,0.21290376432078562,0.3024150572831424
2021-04-14,31083368.0,559660.0,5.9949604060159505,52403.8,0.062282405918301705,0.6898665425201738,0.3248965445892821,0.33961824953445063,0.21737545008183307,0.30681931260229134
2021-04-15,31158452.0,560663.0,6.004045150137134,52034.7,0.06153940173689289,0.6954014069935858,0.32425512104283055,0.33853196772191185,0.2211545008183306,0.3096746317512275
2021-04-16,31235803.0,561553.0,6.011099057477847,51936.9,0.06125731746542297,0.6923753362300848,0.3265776950134492,0.34040968342644323,0.22610016366612112,0.31328314238952537
2021-04-17,31293286.0,562287.0,6.018154581921023,51748.2,0.06101383081376649,0.6954014069935858,0.3277260500724188,0.34210117939168216,0.22930638297872338,0.31548641571194763
2021-04-18,31334816.0,563654.0,6.111213237591494,51218.1,0.06099356706336442,0.6984274777570867,0.3276122491206291,0.34246844609973104,0.23221538461538463,0.3175744680851064
2021-04-19,31402089.0,564103.0,6.115819075871338,50640.6,0.06065036989385655,0.6959186840471757,0.32532071177322575,0.340626939788951,0.23418265139116204,0.3189250409165303
2021-04-20,31461044.0,564869.0,6.1229711030958915,49090.3,0.06013380508201994,0.6946513552658804,0.3191289054417546,0.3346213531967722,0.2361230769230769,0.32036661211129297
2021-04-21,31526842.0,565697.0,6.13010890974418,48256.5,0.059142167899646186,0.6862714669977239,0.3161493896130768,0.3317452927788124,0.23977250409165302,0.3226392798690671
2021-04-22,31591415.0,566520.0,6.137369649607112,47616.4,0.05848021871984561,0.6822367059797227,0.31537864680322786,0.33075212083591976,0.2438657937806874,0.32526153846153844
2021-04-23,31654490.0,567505.0,6.1453570620002065,46595.8,0.05762849790929559,0.6795727291537348,0.31333540244154773,0.3299348230912477,0.2476150572831424,0.32749819967266774
2021-04-24,31704249.0,568244.0,6.152306557431297,45460.6,0.05708491476358958,0.675563831988413,0.31034036830126216,0.32586902545003105,0.2517047463175123,0.3300582651391162
2021-04-25,31737866.0,568528.0,6.154313871207552,44683.7,0.05671952396268897,0.6721239395820402,0.30739188909579973,0.3237740533829919,0.25385531914893616,0.33134500818330603
